District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
86,Montville School District,7,Dr. Charles E. Murphy School,2010-11,61,270.9,73.8,91.8
86,Montville School District,1,Mohegan School,2010-11,71,248,53.5,81.7
86,Montville School District,5,Oakdale School,2010-11,54,262.6,64.8,87
88,Naugatuck School District,8,Andrew Avenue School,2010-11,36,240.1,55.6,75
88,Naugatuck School District,1,Central Avenue School,2010-11,44,211.6,22.7,50
88,Naugatuck School District,5,Hop Brook Elementary School,2010-11,65,244.9,47.7,80
88,Naugatuck School District,3,Maple Hill School,2010-11,63,252.1,58.7,76.2
88,Naugatuck School District,6,Salem School,2010-11,47,269.1,70.2,89.4
88,Naugatuck School District,7,Western School,2010-11,56,241.3,50,80.4
280,"New Beginnings Inc., Family Academy District",1,"New Beginnings Inc., Family Academy",2010-11,39,227.6,38.5,74.4
89,New Britain School District,3,Chamberlain School,2010-11,77,221.2,31.2,55.8
89,New Britain School District,11,DiLoreto Magnet School,2010-11,75,185.9,9.3,29.3
89,New Britain School District,5,Gaffney School,2010-11,52,225.2,34.6,63.5
89,New Britain School District,6,Holmes School,2010-11,57,189.6,10.5,22.8
89,New Britain School District,7,Jefferson School,2010-11,65,212.6,20,52.3
89,New Britain School District,8,Lincoln School,2010-11,104,215.8,34.6,62.5
89,New Britain School District,9,Northend School,2010-11,37,230.5,35.1,59.5
89,New Britain School District,12,Smalley Academy,2010-11,61,220.3,31.1,63.9
89,New Britain School District,13,Smith School,2010-11,63,206.9,23.8,49.2
89,New Britain School District,15,Vance School,2010-11,81,213.3,25.9,53.1
90,New Canaan School District,4,East School,2010-11,96,297.8,94.8,100
90,New Canaan School District,2,South School,2010-11,117,288.8,88,94.9
90,New Canaan School District,3,West School,2010-11,96,296.6,90.6,99
91,New Fairfield School District,2,Meeting House Hill School,2010-11,191,275.8,75.9,93.2
92,New Hartford School District,3,Ann Antolini School,2010-11,86,290.4,88.4,96.5
93,New Haven School District,15,Augusta Lewis Troup School,2010-11,86,212.1,22.1,51.2
93,New Haven School District,2,Barnard Environmental Magnet School,2010-11,44,221.5,20.5,59.1
93,New Haven School District,3,Beecher School,2010-11,35,197.2,5.7,34.3
93,New Haven School District,18,Benjamin Jepson Magnet School,2010-11,59,235.6,42.4,78
93,New Haven School District,43,Bishop Woods School,2010-11,44,246.8,50,79.5
93,New Haven School District,48,Celentano School,2010-11,34,233.8,41.2,76.5
93,New Haven School District,41,Christopher Columbus Academy,2010-11,59,209.8,23.7,45.8
93,New Haven School District,42,Clemente Leadership Academy,2010-11,50,235.7,46,72
93,New Haven School District,6,Clinton Avenue School,2010-11,63,230.3,38.1,63.5
93,New Haven School District,31,Conte/West Hills Magnet School,2010-11,73,217.8,21.9,58.9
93,New Haven School District,9,Davis 21st Century Magnet Elementary School,2010-11,54,248.3,55.6,87
93,New Haven School District,46,East Rock Community Magnet School,2010-11,45,237.1,44.4,73.3
93,New Haven School District,12,Edgewood School,2010-11,50,261,64,88
93,New Haven School District,16,Fair Haven School,2010-11,59,259.9,67.8,86.4
93,New Haven School District,7,Hill Central Music Academy,2010-11,50,210.9,18,52
93,New Haven School District,13,John C. Daniels,2010-11,45,235.1,48.9,71.1
93,New Haven School District,8,John S. Martinez School,2010-11,61,220.8,24.6,65.6
93,New Haven School District,21,Katherine Brennan/Clarence Rogers School,2010-11,23,204.3,13,43.5
93,New Haven School District,30,King/Robinson Magnet School,2010-11,69,216.4,27.5,52.2
93,New Haven School District,20,Lincoln-Bassett School,2010-11,23,244.9,47.8,87
93,New Haven School District,19,Mauro-Sheridan Magnet School,2010-11,48,264.4,66.7,89.6
93,New Haven School District,49,Microsociety Magnet School,2010-11,22,220.2,36.4,54.5
93,New Haven School District,14,Nathan Hale School,2010-11,51,256.2,49,82.4
93,New Haven School District,10,Ross/Woodward School,2010-11,56,213.8,28.6,50
93,New Haven School District,29,Truman School,2010-11,42,231.9,40.5,76.2
93,New Haven School District,32,Wexler/Grant Community School,2010-11,38,226.5,36.8,68.4
93,New Haven School District,38,Worthington Hooker School,2010-11,47,282.4,72.3,95.7
95,New London School District,2,Harbor School,2010-11,41,216,19.5,58.5
95,New London School District,3,Jennings School,2010-11,80,213.6,18.8,52.5
95,New London School District,9,Nathan Hale School,2010-11,52,242.8,46.2,78.8
95,New London School District,5,Shoreline Academy,2010-11,21,232.6,38.1,66.7
95,New London School District,8,Winthrop School,2010-11,40,211,22.5,55
96,New Milford School District,5,Hill And Plain School,2010-11,111,265.3,67.6,87.4
96,New Milford School District,7,John Pettibone School,2010-11,104,259.9,64.4,88.5
96,New Milford School District,8,Northville Elementary School,2010-11,138,259.8,65.2,85.5
94,Newington School District,6,Anna Reynolds School,2010-11,78,269.7,75.6,89.7
94,Newington School District,2,Elizabeth Green School,2010-11,58,266.1,69,93.1
94,Newington School District,8,John Paterson School,2010-11,80,282.7,78.8,93.8
94,Newington School District,7,Ruth Chaffee School,2010-11,88,287,79.5,96.6
97,Newtown School District,1,Hawley Elementary School,2010-11,85,285,84.7,96.5
97,Newtown School District,4,Head O'Meadow Elementary School,2010-11,88,295.9,95.5,100
97,Newtown School District,3,Middle Gate Elementary School,2010-11,95,287.6,86.3,97.9
97,Newtown School District,2,Sandy Hook Elementary School,2010-11,127,301.4,85.8,96.9
98,Norfolk School District,1,Botelle Elementary School,2010-11,NA,NA,NA,NA
99,North Branford School District,6,Totoket Valley Elementary School,2010-11,155,264.3,63.9,89.7
100,North Canaan School District,1,North Canaan Elementary School,2010-11,24,250.8,62.5,87.5
101,North Haven School District,8,Clintonville Elementary School,2010-11,79,264.4,68.4,94.9
101,North Haven School District,7,Green Acres Elementary School,2010-11,54,268.1,68.5,92.6
101,North Haven School District,2,Montowese Elementary School,2010-11,77,259.4,62.3,89.6
101,North Haven School District,3,Ridge Road Elementary School,2010-11,56,288,76.8,94.6
102,North Stonington School District,1,North Stonington Elementary School,2010-11,51,272.8,74.5,90.2
103,Norwalk School District,2,Brookside Elementary School,2010-11,78,249.7,56.4,74.4
103,Norwalk School District,3,Columbus Magnet School,2010-11,52,257.2,61.5,80.8
103,Norwalk School District,4,Cranbury Elementary School,2010-11,69,291,84.1,95.7
