Town,Type,Year,Date,Value
Andover,EMP,2007,8/1/2007,1899
Andover,EMP,2007,9/1/2007,1889
Andover,EMP,2007,10/1/2007,1901
Andover,EMP,2007,11/1/2007,1907
Andover,EMP,2007,12/1/2007,1887
Andover,EMP,2008,1/1/2008,1874
Andover,EMP,2008,2/1/2008,1875
Andover,EMP,2008,3/1/2008,1890
Andover,EMP,2008,4/1/2008,1898
Andover,EMP,2008,5/1/2008,1894
Andover,EMP,2008,6/1/2008,1912
Andover,EMP,2008,7/1/2008,1925
Andover,EMP,2008,8/1/2008,1914
Andover,EMP,2008,9/1/2008,1898
Andover,EMP,2008,10/1/2008,1915
Andover,EMP,2008,11/1/2008,1902
Andover,EMP,2008,12/1/2008,1880
Andover,EMP,2009,1/1/2009,1865
Andover,EMP,2009,2/1/2009,1869
Andover,EMP,2009,3/1/2009,1873
Andover,EMP,2009,4/1/2009,1890
Andover,EMP,2009,5/1/2009,1883
Andover,EMP,2009,6/1/2009,1894
Andover,EMP,2009,7/1/2009,1907
Andover,EMP,2009,8/1/2009,1894
Andover,EMP,2009,9/1/2009,1870
Andover,EMP,2009,10/1/2009,1884
Andover,EMP,2009,11/1/2009,1881
Andover,EMP,2009,12/1/2009,1855
Andover,EMP,2010,1/1/2010,1877
Andover,EMP,2010,2/1/2010,1882
Andover,EMP,2010,3/1/2010,1899
Andover,EMP,2010,4/1/2010,1917
Andover,EMP,2010,5/1/2010,1906
Andover,EMP,2010,6/1/2010,1916
Andover,EMP,2010,7/1/2010,1921
Andover,EMP,2010,8/1/2010,1918
Andover,EMP,2010,9/1/2010,1915
Andover,EMP,2010,10/1/2010,1929
Andover,EMP,2010,11/1/2010,1925
Andover,EMP,2010,12/1/2010,1913
Andover,EMP,2011,1/1/2011,1895
Andover,EMP,2011,2/1/2011,1899
Andover,EMP,2011,3/1/2011,1915
Andover,EMP,2011,4/1/2011,1922
Andover,EMP,2011,5/1/2011,1918
Andover,EMP,2011,6/1/2011,1922
Andover,EMP,2011,7/1/2011,1923
Andover,EMP,2011,8/1/2011,1929
Andover,EMP,2011,9/1/2011,1929
Andover,EMP,2011,10/1/2011,1951
Andover,EMP,2011,11/1/2011,1956
Andover,EMP,2011,12/1/2011,1948
Andover,EMP,2012,1/1/2012,1867
Andover,EMP,2012,2/1/2012,1878
Andover,EMP,2012,3/1/2012,1887
Andover,EMP,2012,4/1/2012,1891
Andover,EMP,2012,5/1/2012,1887
Andover,EMP,2012,6/1/2012,1894
Andover,EMP,2012,7/1/2012,1894
Andover,EMP,2012,8/1/2012,1881
Andover,EMP,2012,9/1/2012,1884
Andover,EMP,2012,10/1/2012,1898
Andover,EMP,2012,11/1/2012,1894
Andover,EMP,2012,12/1/2012,1884
Andover,EMP,2013,1/1/2013,1859
Andover,EMP,2013,2/1/2013,1861
Andover,EMP,2013,3/1/2013,1869
Andover,UN,2005,1/1/2005,77
Andover,UN,2005,2/1/2005,81
Andover,UN,2005,3/1/2005,76
Andover,UN,2005,4/1/2005,70
Andover,UN,2005,5/1/2005,76
Andover,UN,2005,6/1/2005,84
Andover,UN,2005,7/1/2005,90
Andover,UN,2005,8/1/2005,82
Andover,UN,2005,9/1/2005,87
Andover,UN,2005,10/1/2005,76
Andover,UN,2005,11/1/2005,90
Andover,UN,2005,12/1/2005,86
Andover,UN,2006,1/1/2006,90
Andover,UN,2006,2/1/2006,80
Andover,UN,2006,3/1/2006,71
Andover,UN,2006,4/1/2006,52
Andover,UN,2006,5/1/2006,57
Andover,UN,2006,6/1/2006,58
Andover,UN,2006,7/1/2006,76
Andover,UN,2006,8/1/2006,71
Andover,UN,2006,9/1/2006,56
Andover,UN,2006,10/1/2006,59
Andover,UN,2006,11/1/2006,65
Andover,UN,2006,12/1/2006,53
Andover,UN,2007,1/1/2007,61
Andover,UN,2007,2/1/2007,70
Andover,UN,2007,3/1/2007,60
Andover,UN,2007,4/1/2007,57
Andover,UN,2007,5/1/2007,72
Andover,UN,2007,6/1/2007,84
Andover,UN,2007,7/1/2007,75
Andover,UN,2007,8/1/2007,63
Andover,UN,2007,9/1/2007,60
Andover,UN,2007,10/1/2007,61
Andover,UN,2007,11/1/2007,68
Andover,UN,2007,12/1/2007,74
Andover,UN,2008,1/1/2008,80
Andover,UN,2008,2/1/2008,90
Andover,UN,2008,3/1/2008,74
Andover,UN,2008,4/1/2008,67
Andover,UN,2008,5/1/2008,77
Andover,UN,2008,6/1/2008,82
Andover,UN,2008,7/1/2008,90
Andover,UN,2008,8/1/2008,86
Andover,UN,2008,9/1/2008,72
Andover,UN,2008,10/1/2008,70
Andover,UN,2008,11/1/2008,77
Andover,UN,2008,12/1/2008,86
Andover,UN,2009,1/1/2009,103
Andover,UN,2009,2/1/2009,118
Andover,UN,2009,3/1/2009,130
Andover,UN,2009,4/1/2009,117
Andover,UN,2009,5/1/2009,129
Andover,UN,2009,6/1/2009,138
Andover,UN,2009,7/1/2009,150
Andover,UN,2009,8/1/2009,137
Andover,UN,2009,9/1/2009,136
Andover,UN,2009,10/1/2009,137
Andover,UN,2009,11/1/2009,130
Andover,UN,2009,12/1/2009,138
Andover,UN,2010,1/1/2010,156
Andover,UN,2010,2/1/2010,156
Andover,UN,2010,3/1/2010,158
Andover,UN,2010,4/1/2010,153
Andover,UN,2010,5/1/2010,153
Andover,UN,2010,6/1/2010,167
Andover,UN,2010,7/1/2010,168
Andover,UN,2010,8/1/2010,156
Andover,UN,2010,9/1/2010,122
Andover,UN,2010,10/1/2010,130
Andover,UN,2010,11/1/2010,140
Andover,UN,2010,12/1/2010,138
Andover,UN,2011,1/1/2011,164
Andover,UN,2011,2/1/2011,156
Andover,UN,2011,3/1/2011,143
Andover,UN,2011,4/1/2011,123
Andover,UN,2011,5/1/2011,127
Andover,UN,2011,6/1/2011,134
Andover,UN,2011,7/1/2011,133
Andover,UN,2011,8/1/2011,148
Andover,UN,2011,9/1/2011,142
Andover,UN,2011,10/1/2011,122
Andover,UN,2011,11/1/2011,104
Andover,UN,2011,12/1/2011,110
Andover,UN,2012,1/1/2012,122
Andover,UN,2012,2/1/2012,122
Andover,UN,2012,3/1/2012,115
Andover,UN,2012,4/1/2012,112
Andover,UN,2012,5/1/2012,132
Andover,UN,2012,6/1/2012,136
Andover,UN,2012,7/1/2012,153
Andover,UN,2012,8/1/2012,166
Andover,UN,2012,9/1/2012,136
Andover,UN,2012,10/1/2012,144
Andover,UN,2012,11/1/2012,143
Andover,UN,2012,12/1/2012,145
Andover,UN,2013,1/1/2013,175
Andover,UN,2013,2/1/2013,142
Andover,UN,2013,3/1/2013,133
Andover,RT,2005,1/1/2005,4.1
Andover,RT,2005,2/1/2005,4.3
Andover,RT,2005,3/1/2005,4
Andover,RT,2005,4/1/2005,3.7
Andover,RT,2005,5/1/2005,3.9
Andover,RT,2005,6/1/2005,4.3
Andover,RT,2005,7/1/2005,4.6
Andover,RT,2005,8/1/2005,4.2
Andover,RT,2005,9/1/2005,4.5
Andover,RT,2005,10/1/2005,3.9
Andover,RT,2005,11/1/2005,4.6
Andover,RT,2005,12/1/2005,4.4
Andover,RT,2006,1/1/2006,4.7
Andover,RT,2006,2/1/2006,4.2
Andover,RT,2006,3/1/2006,3.7
Andover,RT,2006,4/1/2006,2.7
Andover,RT,2006,5/1/2006,3
Andover,RT,2006,6/1/2006,3
Andover,RT,2006,7/1/2006,3.8
Andover,RT,2006,8/1/2006,3.6
Andover,RT,2006,9/1/2006,2.9
Andover,RT,2006,10/1/2006,3
Andover,RT,2006,11/1/2006,3.3
Andover,RT,2006,12/1/2006,2.7
Andover,RT,2007,1/1/2007,3.2
Andover,RT,2007,2/1/2007,3.6
Andover,RT,2007,3/1/2007,3.1
Andover,RT,2007,4/1/2007,2.9
Andover,RT,2007,5/1/2007,3.7
Andover,RT,2007,6/1/2007,4.2
Andover,RT,2007,7/1/2007,3.8
Andover,RT,2007,8/1/2007,3.2
Andover,RT,2007,9/1/2007,3.1
Andover,RT,2007,10/1/2007,3.1
Andover,RT,2007,11/1/2007,3.4
Andover,RT,2007,12/1/2007,3.8
Andover,RT,2008,1/1/2008,4.1
Andover,RT,2008,2/1/2008,4.6
Andover,RT,2008,3/1/2008,3.8
Andover,RT,2008,4/1/2008,3.4
Andover,RT,2008,5/1/2008,3.9
Andover,RT,2008,6/1/2008,4.1
Andover,RT,2008,7/1/2008,4.5
Andover,RT,2008,8/1/2008,4.3
Andover,RT,2008,9/1/2008,3.7
Andover,RT,2008,10/1/2008,3.5
Andover,RT,2008,11/1/2008,3.9
Andover,RT,2008,12/1/2008,4.4
Andover,RT,2009,1/1/2009,5.2
Andover,RT,2009,2/1/2009,5.9
Andover,RT,2009,3/1/2009,6.5
Andover,RT,2009,4/1/2009,5.8
Andover,RT,2009,5/1/2009,6.4
Andover,RT,2009,6/1/2009,6.8
Andover,RT,2009,7/1/2009,7.3
Andover,RT,2009,8/1/2009,6.7
Andover,RT,2009,9/1/2009,6.8
Andover,RT,2009,10/1/2009,6.8
Andover,RT,2009,11/1/2009,6.5
Andover,RT,2009,12/1/2009,6.9
Andover,RT,2010,1/1/2010,7.7
Andover,RT,2010,2/1/2010,7.7
Andover,RT,2010,3/1/2010,7.7
Andover,RT,2010,4/1/2010,7.4
Andover,RT,2010,5/1/2010,7.4
Andover,RT,2010,6/1/2010,8
Andover,RT,2010,7/1/2010,8
Andover,RT,2010,8/1/2010,7.5
Andover,RT,2010,9/1/2010,6
Andover,RT,2010,10/1/2010,6.3
Andover,RT,2010,11/1/2010,6.8
Andover,RT,2010,12/1/2010,6.7
Andover,RT,2011,1/1/2011,8
Andover,RT,2011,2/1/2011,7.6
Andover,RT,2011,3/1/2011,6.9
Andover,RT,2011,4/1/2011,6
Andover,RT,2011,5/1/2011,6.2
Andover,RT,2011,6/1/2011,6.5
Andover,RT,2011,7/1/2011,6.5
Andover,RT,2011,8/1/2011,7.1
Andover,RT,2011,9/1/2011,6.9
Andover,RT,2011,10/1/2011,5.9
Andover,RT,2011,11/1/2011,5
Andover,RT,2011,12/1/2011,5.3
Andover,RT,2012,1/1/2012,6.1
Andover,RT,2012,2/1/2012,6.1
Andover,RT,2012,3/1/2012,5.7
Andover,RT,2012,4/1/2012,5.6
Andover,RT,2012,5/1/2012,6.5
Andover,RT,2012,6/1/2012,6.7
Andover,RT,2012,7/1/2012,7.5
Andover,RT,2012,8/1/2012,8.1
Andover,RT,2012,9/1/2012,6.7
Andover,RT,2012,10/1/2012,7.1
Andover,RT,2012,11/1/2012,7
Andover,RT,2012,12/1/2012,7.1
Andover,RT,2013,1/1/2013,8.6
Andover,RT,2013,2/1/2013,7.1
Andover,RT,2013,3/1/2013,6.6
Ansonia,LF,2005,1/1/2005,9561
Ansonia,LF,2005,2/1/2005,9564
Ansonia,LF,2005,3/1/2005,9574
Ansonia,LF,2005,4/1/2005,9598
Ansonia,LF,2005,5/1/2005,9714
Ansonia,LF,2005,6/1/2005,9900
Ansonia,LF,2005,7/1/2005,10026
Ansonia,LF,2005,8/1/2005,9929
Ansonia,LF,2005,9/1/2005,9690
Ansonia,LF,2005,10/1/2005,9760
Ansonia,LF,2005,11/1/2005,9716
Ansonia,LF,2005,12/1/2005,9678
Ansonia,LF,2006,1/1/2006,9676
Ansonia,LF,2006,2/1/2006,9648
Ansonia,LF,2006,3/1/2006,9663
Ansonia,LF,2006,4/1/2006,9615
Ansonia,LF,2006,5/1/2006,9725
Ansonia,LF,2006,6/1/2006,9874
Ansonia,LF,2006,7/1/2006,10029
Ansonia,LF,2006,8/1/2006,9976
Ansonia,LF,2006,9/1/2006,9749
Ansonia,LF,2006,10/1/2006,9799
Ansonia,LF,2006,11/1/2006,9820
Ansonia,LF,2006,12/1/2006,9798
Ansonia,LF,2007,1/1/2007,9778
Ansonia,LF,2007,2/1/2007,9754
Ansonia,LF,2007,3/1/2007,9782
Ansonia,LF,2007,4/1/2007,9770
Ansonia,LF,2007,5/1/2007,9848
Ansonia,LF,2007,6/1/2007,10051
Ansonia,LF,2007,7/1/2007,10264
Ansonia,LF,2007,8/1/2007,10102
Ansonia,LF,2007,9/1/2007,9913
Ansonia,LF,2007,10/1/2007,9903
Ansonia,LF,2007,11/1/2007,9943
Ansonia,LF,2007,12/1/2007,9911
Ansonia,LF,2008,1/1/2008,9895
Ansonia,LF,2008,2/1/2008,9812
Ansonia,LF,2008,3/1/2008,9876
Ansonia,LF,2008,4/1/2008,9886
Ansonia,LF,2008,5/1/2008,9951
Ansonia,LF,2008,6/1/2008,10155
Ansonia,LF,2008,7/1/2008,10291
Ansonia,LF,2008,8/1/2008,10196
Ansonia,LF,2008,9/1/2008,9986
Ansonia,LF,2008,10/1/2008,10071
Ansonia,LF,2008,11/1/2008,10043
Ansonia,LF,2008,12/1/2008,10004
Ansonia,LF,2009,1/1/2009,9943
Ansonia,LF,2009,2/1/2009,9931
Ansonia,LF,2009,3/1/2009,10013
Ansonia,LF,2009,4/1/2009,9988
Ansonia,LF,2009,5/1/2009,10033
Ansonia,LF,2009,6/1/2009,10195
Ansonia,LF,2009,7/1/2009,10317
Ansonia,LF,2009,8/1/2009,10233
Ansonia,LF,2009,9/1/2009,9985
Ansonia,LF,2009,10/1/2009,9983
Ansonia,LF,2009,11/1/2009,9961
Ansonia,LF,2009,12/1/2009,9912
Ansonia,LF,2010,1/1/2010,10245
Ansonia,LF,2010,2/1/2010,10250
Ansonia,LF,2010,3/1/2010,10314
Ansonia,LF,2010,4/1/2010,10378
Ansonia,LF,2010,5/1/2010,10521
Ansonia,LF,2010,6/1/2010,10735
Ansonia,LF,2010,7/1/2010,10890
Ansonia,LF,2010,8/1/2010,10829
Ansonia,LF,2010,9/1/2010,10544
Ansonia,LF,2010,10/1/2010,10552
Ansonia,LF,2010,11/1/2010,10565
Ansonia,LF,2010,12/1/2010,10487
Ansonia,LF,2011,1/1/2011,10438
Ansonia,LF,2011,2/1/2011,10406
Ansonia,LF,2011,3/1/2011,10467
Ansonia,LF,2011,4/1/2011,10416
Ansonia,LF,2011,5/1/2011,10503
Ansonia,LF,2011,6/1/2011,10636
Ansonia,LF,2011,7/1/2011,10747
Ansonia,LF,2011,8/1/2011,10661
Ansonia,LF,2011,9/1/2011,10436
Ansonia,LF,2011,10/1/2011,10463
Ansonia,LF,2011,11/1/2011,10383
Ansonia,LF,2011,12/1/2011,10392
Ansonia,LF,2012,1/1/2012,10178
Ansonia,LF,2012,2/1/2012,10172
Ansonia,LF,2012,3/1/2012,10217
Ansonia,LF,2012,4/1/2012,10269
Ansonia,LF,2012,5/1/2012,10351
Ansonia,LF,2012,6/1/2012,10530
Ansonia,LF,2012,7/1/2012,10599
Ansonia,LF,2012,8/1/2012,10455
Ansonia,LF,2012,9/1/2012,10195
Ansonia,LF,2012,10/1/2012,10209
Ansonia,LF,2012,11/1/2012,10099
Ansonia,LF,2012,12/1/2012,10029
Ansonia,LF,2013,1/1/2013,10028
Ansonia,LF,2013,2/1/2013,9948
Ansonia,LF,2013,3/1/2013,9943
Ansonia,EMP,2005,1/1/2005,8920
Ansonia,EMP,2005,2/1/2005,8911
Ansonia,EMP,2005,3/1/2005,9003
Ansonia,EMP,2005,4/1/2005,9070
Ansonia,EMP,2005,5/1/2005,9118
Ansonia,EMP,2005,6/1/2005,9215
Ansonia,EMP,2005,7/1/2005,9370
Ansonia,EMP,2005,8/1/2005,9307
Ansonia,EMP,2005,9/1/2005,9108
Ansonia,EMP,2005,10/1/2005,9225
Ansonia,EMP,2005,11/1/2005,9181
Ansonia,EMP,2005,12/1/2005,9177
Ansonia,EMP,2006,1/1/2006,9042
Ansonia,EMP,2006,2/1/2006,9054
Ansonia,EMP,2006,3/1/2006,9151
Ansonia,EMP,2006,4/1/2006,9156
Ansonia,EMP,2006,5/1/2006,9214
Ansonia,EMP,2006,6/1/2006,9338
Ansonia,EMP,2006,7/1/2006,9441
Ansonia,EMP,2006,8/1/2006,9392
Ansonia,EMP,2006,9/1/2006,9219
Ansonia,EMP,2006,10/1/2006,9345
Ansonia,EMP,2006,11/1/2006,9352
Ansonia,EMP,2006,12/1/2006,9360
Ansonia,EMP,2007,1/1/2007,9206
Ansonia,EMP,2007,2/1/2007,9194
Ansonia,EMP,2007,3/1/2007,9286
Ansonia,EMP,2007,4/1/2007,9279
Ansonia,EMP,2007,5/1/2007,9339
Ansonia,EMP,2007,6/1/2007,9455
Ansonia,EMP,2007,7/1/2007,9605
Ansonia,EMP,2007,8/1/2007,9488
Ansonia,EMP,2007,9/1/2007,9319
Ansonia,EMP,2007,10/1/2007,9390
Ansonia,EMP,2007,11/1/2007,9400
Ansonia,EMP,2007,12/1/2007,9358
Ansonia,EMP,2008,1/1/2008,9212
Ansonia,EMP,2008,2/1/2008,9165
Ansonia,EMP,2008,3/1/2008,9250
Ansonia,EMP,2008,4/1/2008,9288
Ansonia,EMP,2008,5/1/2008,9316
Ansonia,EMP,2008,6/1/2008,9435
Ansonia,EMP,2008,7/1/2008,9546
Ansonia,EMP,2008,8/1/2008,9451
Ansonia,EMP,2008,9/1/2008,9262
Ansonia,EMP,2008,10/1/2008,9326
Ansonia,EMP,2008,11/1/2008,9290
Ansonia,EMP,2008,12/1/2008,9240
Ansonia,EMP,2009,1/1/2009,9010
Ansonia,EMP,2009,2/1/2009,8952
Ansonia,EMP,2009,3/1/2009,9011
Ansonia,EMP,2009,4/1/2009,9026
Ansonia,EMP,2009,5/1/2009,9053
Ansonia,EMP,2009,6/1/2009,9157
Ansonia,EMP,2009,7/1/2009,9280
Ansonia,EMP,2009,8/1/2009,9196
Ansonia,EMP,2009,9/1/2009,8972
Ansonia,EMP,2009,10/1/2009,9002
Ansonia,EMP,2009,11/1/2009,9015
Ansonia,EMP,2009,12/1/2009,8943
Ansonia,EMP,2010,1/1/2010,9162
Ansonia,EMP,2010,2/1/2010,9137
Ansonia,EMP,2010,3/1/2010,9229
Ansonia,EMP,2010,4/1/2010,9328
Ansonia,EMP,2010,5/1/2010,9404
Ansonia,EMP,2010,6/1/2010,9507
Ansonia,EMP,2010,7/1/2010,9622
Ansonia,EMP,2010,8/1/2010,9570
Ansonia,EMP,2010,9/1/2010,9352
Ansonia,EMP,2010,10/1/2010,9386
Ansonia,EMP,2010,11/1/2010,9368
Ansonia,EMP,2010,12/1/2010,9356
Ansonia,EMP,2011,1/1/2011,9226
Ansonia,EMP,2011,2/1/2011,9226
Ansonia,EMP,2011,3/1/2011,9341
Ansonia,EMP,2011,4/1/2011,9341
Ansonia,EMP,2011,5/1/2011,9441
Ansonia,EMP,2011,6/1/2011,9515
Ansonia,EMP,2011,7/1/2011,9627
Ansonia,EMP,2011,8/1/2011,9562
Ansonia,EMP,2011,9/1/2011,9385
Ansonia,EMP,2011,10/1/2011,9462
Ansonia,EMP,2011,11/1/2011,9466
Ansonia,EMP,2011,12/1/2011,9460
Ansonia,EMP,2012,1/1/2012,9144
Ansonia,EMP,2012,2/1/2012,9119
Ansonia,EMP,2012,3/1/2012,9200
Ansonia,EMP,2012,4/1/2012,9218
Ansonia,EMP,2012,5/1/2012,9292
Ansonia,EMP,2012,6/1/2012,9372
Ansonia,EMP,2012,7/1/2012,9443
Ansonia,EMP,2012,8/1/2012,9338
Ansonia,EMP,2012,9/1/2012,9190
Ansonia,EMP,2012,10/1/2012,9233
Ansonia,EMP,2012,11/1/2012,9187
Ansonia,EMP,2012,12/1/2012,9133
Ansonia,EMP,2013,1/1/2013,9002
Ansonia,EMP,2013,2/1/2013,8933
Ansonia,EMP,2013,3/1/2013,9007
Ansonia,UN,2005,1/1/2005,641
Ansonia,UN,2005,2/1/2005,653
Ansonia,UN,2005,3/1/2005,571
Ansonia,UN,2005,4/1/2005,528
Ansonia,UN,2005,5/1/2005,596
Ansonia,UN,2005,6/1/2005,685
Ansonia,UN,2005,7/1/2005,656
Ansonia,UN,2005,8/1/2005,622
Ansonia,UN,2005,9/1/2005,582
Ansonia,UN,2005,10/1/2005,535
Ansonia,UN,2005,11/1/2005,535
Ansonia,UN,2005,12/1/2005,501
Ansonia,UN,2006,1/1/2006,634
Ansonia,UN,2006,2/1/2006,594
Ansonia,UN,2006,3/1/2006,512
Ansonia,UN,2006,4/1/2006,459
Ansonia,UN,2006,5/1/2006,511
Ansonia,UN,2006,6/1/2006,536
Ansonia,UN,2006,7/1/2006,588
Ansonia,UN,2006,8/1/2006,584
Ansonia,UN,2006,9/1/2006,530
Ansonia,UN,2006,10/1/2006,454
Ansonia,UN,2006,11/1/2006,468
Ansonia,UN,2006,12/1/2006,438
Ansonia,UN,2007,1/1/2007,572
Ansonia,UN,2007,2/1/2007,560
Ansonia,UN,2007,3/1/2007,496
Ansonia,UN,2007,4/1/2007,491
Ansonia,UN,2007,5/1/2007,509
Ansonia,UN,2007,6/1/2007,596
Ansonia,UN,2007,7/1/2007,659
Ansonia,UN,2007,8/1/2007,614
Ansonia,UN,2007,9/1/2007,594
Ansonia,UN,2007,10/1/2007,513
Ansonia,UN,2007,11/1/2007,543
Ansonia,UN,2007,12/1/2007,553
Ansonia,UN,2008,1/1/2008,683
Ansonia,UN,2008,2/1/2008,647
Ansonia,UN,2008,3/1/2008,626
Ansonia,UN,2008,4/1/2008,598
Ansonia,UN,2008,5/1/2008,635
Ansonia,UN,2008,6/1/2008,720
Ansonia,UN,2008,7/1/2008,745
Ansonia,UN,2008,8/1/2008,745
Ansonia,UN,2008,9/1/2008,724
Ansonia,UN,2008,10/1/2008,745
Ansonia,UN,2008,11/1/2008,753
Ansonia,UN,2008,12/1/2008,764
Ansonia,UN,2009,1/1/2009,933
Ansonia,UN,2009,2/1/2009,979
Ansonia,UN,2009,3/1/2009,1002
Ansonia,UN,2009,4/1/2009,962
Ansonia,UN,2009,5/1/2009,980
Ansonia,UN,2009,6/1/2009,1038
Ansonia,UN,2009,7/1/2009,1037
Ansonia,UN,2009,8/1/2009,1037
Ansonia,UN,2009,9/1/2009,1013
Ansonia,UN,2009,10/1/2009,981
Ansonia,UN,2009,11/1/2009,946
Ansonia,UN,2009,12/1/2009,969
Ansonia,UN,2010,1/1/2010,1083
Ansonia,UN,2010,2/1/2010,1113
Ansonia,UN,2010,3/1/2010,1085
Ansonia,UN,2010,4/1/2010,1050
Ansonia,UN,2010,5/1/2010,1117
Ansonia,UN,2010,6/1/2010,1228
Ansonia,UN,2010,7/1/2010,1268
Ansonia,UN,2010,8/1/2010,1259
Ansonia,UN,2010,9/1/2010,1192
Ansonia,UN,2010,10/1/2010,1166
Ansonia,UN,2010,11/1/2010,1197
