Year,District Name,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other
2011,Greenwich School District,94.5,4.1,0,1.4
2011,Griswold School District,81,7,0,12
2011,Groton School District,80.7,3.3,0,16.1
2011,Guilford School District,94.5,1.8,0,3.7
2011,Hamden School District,83.3,7.3,0,9.4
2011,Hartford School District,63.2,11.4,0.1,25.3
2011,Killingly School District,70.7,6.6,0,22.7
2011,Lebanon School District,92.5,1.3,0,6.3
2011,Ledyard School District,89.8,4.3,0,6
2011,Lisbon School District,,,,
2011,Litchfield School District,93.7,2.1,0,4.2
2011,Madison School District,96.5,1.3,0,2.2
2011,Manchester School District,71.2,11.2,0,17.6
2011,Meriden School District,69.8,8.6,0,21.6
2011,Middletown School District,76.9,10.6,0,12.6
2011,Milford School District,87.8,8.1,0,4.1
2011,Monroe School District,97,3,0,0
2011,Montville School District,84.9,3.9,0,11.2
2011,Naugatuck School District,82.7,5.9,0,11.4
2011,New Britain School District,51.3,19.1,0,29.6
2011,New Canaan School District,97.4,2.3,0,0.3
2011,New Fairfield School District,90.9,5,0.4,3.7
2011,New Haven School District,63.9,11,0,25.1
2011,Newington School District,83.8,9.9,0,6.3
2011,New London School District,62.6,18.3,0,19.1
2011,New Milford School District,87.1,4,0,8.9
2011,Newtown School District,93.7,2.5,0,3.8
2011,North Branford School District,93.8,1,0,5.1
2011,North Haven School District,87.6,4.6,0,7.8
2011,North Stonington School District,89.6,1.5,0,9
2011,Norwalk School District,84.2,6.5,0,9.3
2011,Norwich School District,24.1,31,0,44.8
2011,Old Saybrook School District,92.7,3.3,0,4.1
2011,Oxford School District,94.8,1.9,0,3.2
2011,Plainfield School District,85.7,5.7,0,8.7
2011,Plainville School District,88.1,3,0,8.9
2011,Plymouth School District,90,7.1,0,2.9
2011,Portland School District,83.5,2.1,0,14.4
2011,Putnam School District,78.7,10.7,0,10.7
2011,Ridgefield School District,96.1,2.5,0,1.4
2011,Rocky Hill School District,91,1.7,0,7.3
2011,Seymour School District,83.1,5.3,0,11.6
2011,Shelton School District,87.8,6.2,0,6
2011,Simsbury School District,95,3.1,0,2
2011,Somers School District,94.5,4.1,0,1.4
2011,Southington School District,90.5,6,0,3.5
2011,South Windsor School District,90.8,3.8,0,5.4
2011,Stafford School District,75.6,11.9,0,12.6
2011,Stamford School District,85.3,7.7,0,7
2011,Stonington School District,93.4,3.3,0,3.3
2011,Stratford School District,88.1,4.5,0,7.4
2011,Suffield School District,94.9,4.2,0,0.9
2011,Thomaston School District,91.4,2.9,0,5.7
2011,Thompson School District,88.4,1.1,0,10.5
2011,Tolland School District,92.4,7.1,0,0.4
2011,Torrington School District,77.4,7.1,0,15.5
2011,Trumbull School District,97.8,1.4,0,0.8
2011,Vernon School District,81.7,6.6,0,11.7
2011,Wallingford School District,87,5.2,0,7.8
2011,Waterbury School District,65.7,4.8,0,29.5
2011,Waterford School District,91.2,2.6,0,6.3
2011,Watertown School District,87.5,6.9,0,5.6
2011,Westbrook School District,94.7,1.3,0,4
2011,West Hartford School District,90.3,4.8,0,4.8
2011,West Haven School District,68,7,0,25
2011,Weston School District,98.5,1.5,0,0
2011,Westport School District,96.6,2.1,0,1.3
2011,Wethersfield School District,91.1,3.9,0,4.9
2011,Wilton School District,97.7,2,0,0.3
2011,Windham School District,61,17.2,0,21.7
2011,Windsor School District,83,7.9,0,9.1
2011,Windsor Locks School District,85.2,8.9,0,5.9
2011,Wolcott School District,92.5,3.5,0,4
2011,Regional School District 01,83.3,5.8,0,10.9
2011,Regional School District 04,88.3,1.8,0,9.9
2011,Regional School District 05,92.4,3.4,0,4.2
2011,Regional School District 06,88.5,1.9,0,9.6
2011,Regional School District 07,93.8,4.8,0,1.4
2011,Regional School District 08,84.6,7.9,0,7.5
2011,Regional School District 09,95.5,4.5,0,0
2011,Regional School District 10,95.5,2.8,0,1.7
2011,Regional School District 11,71.1,5.3,0,23.7
2011,Regional School District 12,86,2.2,0,11.8
2011,Regional School District 13,92.9,2.8,0,4.3
2011,Regional School District 14,95,3.7,0,1.4
2011,Regional School District 15,91.5,4.1,0.3,4.1
2011,Regional School District 16,88.3,5.6,0,6.1
2011,Regional School District 17,92.8,1.1,0,6.1
2011,Regional School District 18,97,3,0,0
2011,Regional School District 19,82.7,9.2,0,8.1
2011,Capitol Region Education Council,83.6,5.4,0,11
2011,Eastern Connecticut Regional Educational Service C,74.6,8.5,0,16.9
2011,Common Ground High School District,86.8,5.3,0,7.9
2011,The Bridge Academy District,85.7,10.7,0,3.6
2011,Explorations District,52.9,23.5,0,23.5
2011,Amistad Academy District,58.6,10.3,0,31
2011,Stamford Academy,36.4,41.8,0,21.8
2011,Unified School District #1,1.4,31.4,2,65.2
2011,Unified School District #2,30,40,0,30
2011,Connecticut Technical High School System,93.4,0.5,0,6.1
2011,Norwich Free Academy,81.3,3.8,0,14.9
2011,The Gilbert School,77.3,10.7,0,12
2011,Woodstock Academy,94.3,1.3,0,4.3
